name,topics,topic_0,topic_1
上海昨新增1例境外输入病例,"[(0, 0.040847823), (1, 0.95915216)]",0.04084782302379608,0.9591521620750427
制定一条从渔阳里出发的红色旅游线,"[(0, 0.660824), (1, 0.33917594)]",0.6608240008354187,0.3391759395599365
追忆百年前青年领袖的革命历程,"[(0, 0.016681345), (1, 0.9833187)]",0.01668134517967701,0.9833186864852905
从雨雪纷飞一直守到春暖花开,"[(0, 0.9528006), (1, 0.047199484)]",0.9528005719184875,0.04719948396086693
带你入诗 入画 入生活,"[(0, 0.052454907), (1, 0.9475451)]",0.052454907447099686,0.9475451111793518
不只叫你买买买 亦盼你来看看看,"[(1, 0.9928912)]",0.0,0.9928911924362183
真刀真枪上阵国青小将抢眼,"[(0, 0.020187233), (1, 0.97981274)]",0.02018723264336586,0.979812741279602
凸显中国韵味　跻身“国潮”之列,"[(0, 0.043125115), (1, 0.95687485)]",0.04312511533498764,0.9568748474121094
九龙吊片,"[(0, 0.059715506), (1, 0.9402845)]",0.05971550568938255,0.9402844905853271
触摸幸福,"[(0, 0.73933417), (1, 0.26066583)]",0.7393341660499573,0.2606658339500427
第七任保姆,"[(0, 0.92605895), (1, 0.07394103)]",0.9260589480400085,0.07394102960824966
泉水精灵,"[(0, 0.9875205), (1, 0.012479498)]",0.9875205159187317,0.01247949805110693
鸡蛋·旗袍·密码,"[(0, 0.721513), (1, 0.27848703)]",0.7215129733085632,0.27848702669143677
丹麦文坛的倔强母狮,"[(0, 0.62134945), (1, 0.3786506)]",0.6213494539260864,0.37865060567855835
彼得堡怎么念,"[(0, 0.9408824), (1, 0.059117626)]",0.9408823847770691,0.059117626398801804
“读书窗”,"[(0, 0.65679544), (1, 0.34320456)]",0.6567954421043396,0.3432045578956604
喜见澄衷文脉续,"[(0, 0.13904466), (1, 0.86095536)]",0.1390446573495865,0.8609553575515747
去年今日广场中,"[(0, 0.94547576), (1, 0.054524254)]",0.9454757571220398,0.0545242540538311
原野牧歌,"[(0, 0.5897517), (1, 0.41024828)]",0.5897517204284668,0.4102482795715332
立夏，在江南,"[(0, 0.2969857), (1, 0.7030143)]",0.2969856858253479,0.7030143141746521
99.999%,"[(0, 0.6800122), (1, 0.31998774)]",0.6800122261047363,0.3199877440929413
购物节，买和卖的快乐互动,"[(0, 0.09977348), (1, 0.9002266)]",0.09977348148822784,0.9002265930175781
我国空间站在轨建造任务启幕,"[(0, 0.71378565), (1, 0.2862143)]",0.7137856483459473,0.28621429204940796
上海力量为“新箭新船”护航,"[(0, 0.48577508), (1, 0.5142249)]",0.48577508330345154,0.5142248868942261
长五B运载火箭首飞3大看点,"[(0, 0.94244885), (1, 0.05755109)]",0.9424488544464111,0.05755108967423439
我国载人航天“第三步”启幕,"[(0, 0.8666745), (1, 0.13332552)]",0.8666744828224182,0.1333255171775818
